"name";"display_name";"parent";"content";"content_short";"tags";"category";"priority"
"Action Points";"";"";"";"Action points are spent to perform any kind of combat action";"";"";100
"Actions per Turn";"";"Attributes";"At the ?_Beginning of each turn_Combat__ a Character gains ?__Action Points__ equal to their APT";"The Amount of Action Points a Character gains per Turn<br><br>Actions per Turn = (DEX + INT)/2 + 3";"APT";"";6
"Advantage";"";"";"Performing an Action with Advantage means rolling two dice instead of one and choosing the better result, performing an Action with Disadvantage means choosing the worse result.<br><br>Advantage and Disadvantage cancel each other out. (e.g. performing an action with advantage and disadvantage means performing the Action normaly, performing an Action with one source of Advantage and two sources of Disadvantage means performing the Action with Disadvantage)<br><br>Neither Advantage nore Disadvantage stack (e.g. If you have two sources of Advantage you still only roll two dice).";"Roll two dice instead of one<br>Advantage: Use the better result<br>Disadvantage: use the worse result";"Luck, fortune, misfortune, disadvantage";"";100
"Affinity";"";"Leveling Up";"If your Character has Affinity for a certain skill, Leveling up that skill costs you 25XP less.";"Reduces the cost for leveling up a specific Skill by 25XP";"level, xp, exp, expirience, learning";"";100
"Area of Effect";"";"";"Some effects take place continuously  inside a specific area.<br>?_Static__h_<br>If the Effect is static (such as Reduce MPA by 2) the effect is simply applied for as long as a Character is inside the area.<br><br>?_Once per Turn__h_<br>If the Effect has specific instances (such as damage) it is applied every time a Character has spent 1 Turn (see ?__Ongoing Effects__) inside the area (rounded up).<br>If a Character takes multiple Actions within the area the AP costs of those actions are added together to determine when the next instance comes into effect.<br>If a Character leaves the area and later reenters it the counter is reset (they will get affected by at least one more instance)<br>If a Character moves into, out of or through an Area of Effect it counts as taking an Action inside these areas (The Character will be affected by 1 instance of the effect)<br>";"";"";"";100
"Armor";"";"";"Each piece of Armor has two attributes, Deflection and Padding, deflection protects from piercing damage, padding protects from blunt damage.<br>?_Blunt Damage__h_<br>When taking ?_Blunt Damage_rules?name=Damage Types_popup_ subtract the attacker%SQ%s Force from your armor%SQ%s Padding and subtract the result from the damage taken, before splitting it into Health and Stamina Damage.<br>Even if the attacker%SQ%s Force is greater than your Padding the damage taken is not increased.<br>?_Piercing Damage__h_<br>When taking ?_Piercing Damage_Damage Types__, subtract the attackers force from your Deflection.<br>If the result is greater than the incoming Damage that Damage is turned into Blunt Damage. Subtract your armor%SQ%s Padding from that Damage, ignoring the attackers force this time, before splitting it.<br>If the damage is greater than the result you take full damage and your armor is damaged<br>?_Damaged Armor__h_<br>When a piece of Armor has more damage marked on it then it has durability it becomes useless and no longer provides any protection<br>?_Stacking Armor__h_<br>When wearing multiple layers of armor the padding of layer is added together but only the highest Deflection value is taken into account<br>?__armor?name:_table_<br>";"";"";"";100
"Attacking";"";"Combat";"To attack with a weapon you first pay the weapons attack Cost, then you roll a D20, if the result is below or equal to your Hit Chance with that weapon you hit the target. If your result is higher you miss and nothing happens.<br>If the target didn?t successfully parry or dodge your attack, you deal damage to them. How much and what kind of damage depends on the weapon. <br>";"Target declares Parry or Dodge<br>Roll a D20<br>If result is under your Hit Chance and the target didn%SQ%t succesfully Parry or Dodge the target takes damage depending on your Weapon<br><br>AP Cost depends on the Weapon used";"";"";0
"Attributes";"";"";"Attributes represent a the physical traits of a Character in the Game System<br><br>Strength, Constittion, Dexterity, Intelligence, Willpower and Charisma are the six Main Attributes, from them all other Attributes are derived.<br>The base values of Main Attributes depend on a Character%SQ%s ?__Race__ (For Humans all of them are 7).<br>Base Attributes can be increased during ?__Character Creation__ but are otherwise fixed";"";"";"";100
"Balance";"";"Tests";"Balancing is a CON Test<br><br>Modifiers:<br><br>Foothold smaller than two times foot: 0 (If the Foothold is larger no balancing Test should be necessary)<br>Foothold smaller than foot: -3<br>Foothold smaller than half a foot: -10<br><br>Wet Foothold: Disadvatage<br>";"Balancing is a CON Test<br>";"CON Test";"";100
"Blind";"";"";"A blind Character can not see anything.<br>-15 Spell and Ranged Hit Chance<br>Disadvantage on Melee Attacks<br>Automatically fails all Sight Tests";"Automatically fails all Sight Tests, -15 Spell and Ranged Hit Chance, Disadvantage on Melee Attacks";"";"";100
"Blocking";"";"Attacking";"When a Character tries to move past you within melee attack range and you have the same amount of AP as them or more (after subtracting the cost of their movement) you may decide to attack them.<br><br>Your Hit Chance as well as their Parrying and Dodge Chance are reduced by half their current speed.<br>If your attack hits the target or they parry (but not if they dodge successfully), their movement is interrupted (they still pay the full cost for that movement).<br><br>Only basic attacks or abilities explicitly defined as Blocks can be used for blocking.<br><br>You can not block a Character while you are engaged in melee combat with a third Character<br><br>?_Disengaging__h2_<br>A Character is disengaging if they were within your melee range before moving, and are moving away from you (but not around you).<br>A disengaging Characters Dodge Chance is not reduced due to their speed, but increased by the same amount instead.<br>You may try to block a disengaging Character even if you have less AP than them.<br>";"Inhibit a Character that tries to move past you";"Block, Disengage, hinder, stop";"";100
"Blunt Injuries";"";"Injuries";"?_Healing:__h3_<br>Laceration:<br>Heals by 1 ?_HR_Health Regeneration__ every day up to 50%, will only heal by 1 ?_HR_Health Regeneration__ per week afterwards.<br>?__ability?=tags:Heal Laceration_C_<br>Internal Bleeding:<br>Does not Heal by itself<br>?__ability?=tags:Heal Laceration_C_<br>Broken Bone:<br>Heals by 1 ?_HR_Health Regeneration__ per week<br>?__ability?=tags:Heal Broken Bone_C_<br>";"Laceration: Heals by 1 ?_HR_Health Regeneration__ every day up to 50%, will only heal by 1 ?_HR_Health Regeneration__ per week afterwards.<br>Internal Bleeding: Does not Heal by itself<br>Broken Bone: Heals by 1 ?_HR_Health Regeneration__ per week<br>";"";"";100
"Bound";"";"Status Effects";"A bound Character can not move, Attack, Dodge, Parry or use any Ability that requires movement of any extremity<br>";"Can not move at all.";"stun, immobilize";"";100
"Break Shackles";"";"Tests";"Breaking shackles can be done in one of two ways:<br><br>You can try to physically tear them apart:<br>Strength Test<br>Modifiers:<br>-5 for thin rope<br>-10 for thick rope<br>-20 for chains<br><br>Or you can try to slip the rope or loosen the knot:<br>Dexterity Test<br>?__ability?=Shackle_C_";"STR - 5 Test to try to physically tear them apart<br>DEX Test to try to slip them or loosen the knot";"STR Test, DEX Test";"";100
"Channel";"";"Combat";"A Channel is an Ability that can or must be performed over multiple turns. <br><br>While Performing a Channel you may pay any amount of AP whenever you have Priority. <br>If you would end a Turn with any AP left you must use them to pay for the Channel instead.<br>Once you have paid the total amount of AP required the Channels takes effect the next time you have Priority (before you take your next Action).<br><br>?_Declaring Targets__h_<br>All targets of the spell (no matter if they are Characters, locations or something else) must be declared before the start of the Channel<br>Note: This may give Characters a Chance to move out of the way if they are aware of the spell!<br><br>?_Hit Chance__h_<br>If the Channel has a Hit Chance you roll only after completing the Channel to see if it was successful<br><br>?_Costs__h_<br>All costs of the Channel are paid after the Channel has been completed or Interrupted<br><br>?_Interruption__h_<br>You may interrupt a Channel whenever you have Priority by simply not paying any AP.<br>When taking damage while performing a Channel you must pass a WIL - 2x Damage Test to continue your Channel, otherwise it is automatically interrupted (you do not regain any AP this way)<br><br>?_Channel X__h_<br>Some Abilities are marked as Channel X this means you may Channel them for as long as you like, they either have a continuous effect that ends once the Channel is over or have an effect that scales with the total amount of AP you paid<br>If the Ability is marked as Channel %DQ%X < N%DQ% you may Channel for as long as you like but may not pay N or more AP in total<br><br><br>";"Action that can or must be performed over multiple turns.<br>Roll for Hit Chance after Channel is finished<br>Can be interrupted";"Channel, incantation";"";2
"Charisma";"";"Attributes";"?__rule?=tags:CHA Derived_C§content-short_<br>?__rule?=tags:CHA Test_C§content-short_";"A Character%SQ%s creativity and social prowess";"CHA";"";5
"Climbing";"";"Tests";"If you have to pull yourself up:<br>STR + 7 Test<br><br>Modifiers:<br>-W/10, where W is your body weight plus your carry weight<br>Disadvantage for wet grip<br><br><br>If you try to climb up a wall or tree:<br>DEX Test<br><br>Modifiers:<br>+5 for hand- and footholds each (+10 for both)<br>-5 for overhead climbing<br>Disadvantage for wet grip<br>?__ability?=name=Climbing_C_";"STR + 7 - Weight/10 Test to pull yourself up<br>DEX Test to climb up a wall or tree<br><br>Disadvantage for wet grip";"STR Test, CON Test";"";100
"Combat";"";"";"?__CombatRulesTable_W_";"";"fight, fighting, round, priority, action points, AP, turn, yield, action";"";100
"Common Tests";"";"";"";"";"";"";100
"Constitution";"";"Attributes";"?__rules?tags:CON Derived_Container_<br>?__rules?tags:CON Test_Container_";"A Character%SQ%s physical Resiliance and Endurance<br>Influences Perception, Movement Speed, Carry Limit, Maximum Health, Knockout threshold, Maximum Stamina, Stamina Regen, Injury, Cold and Heat Threshold as well as Poison Resistance";"CON";"";1
"Contests";"";"";"Contests are used when a simple ?_Test_rules?name=Tests_Popup_ is not enough to determine the outcome of an action. <br><br>A contest works as follows:<br><br>1. The initiator of contest pays 5AP to initiate the contest, if there is no initiator both Characters pay 5AP<br><br>2. Both Contestants choose which Attribute to use in the contest (most of the time they will only have one choice)<br><br>3. The initiator rolls a d6 and adds the result to their chosen Attribute, if there is no initiator both Contestants do so<br><br>4. From now on Both Characters may Compete:<br>a) Pay 5 AP<br>b) Roll a d6 add the result to your chosen Attribute<br>c) If your result minus your Penalty is higher than your opponents last result minus their Penalty, increase your opponents Penalty by 2<br><br>5. If a Contestant performs an Action for the first time after their opponent Competed, and that Action is not Compete, their Penalty is increased by 2<br><br>6. If at any point a Characters last result minus their penalty is at least twice their opponents last result minus the opponents Penalty that Character wins the Contest<br><br>Notes: <br>- Some contest might be immediately lost or won before any party can actively compete<br>- Your Penalty is not increased if you Compete and your result is less then your opponents last result<br>- You may however lose the contest after Competing because you rolled worse than last time<br><br>?_Influencing Contests__h2_<br>If a contestant is damaged by any source during the contest they increase their Penalty equal to the damage taken.<br>Should a contestant become unable to compete in this particular contest (Through death, loss of consciousness or prohibiting spells, etc.) the other contestant wins by default<br><br>?_Examples__h2_<br>The Setup for Examples is:<br>Alice and Bob want to arm wrestle, they perform a STR/STR Contest, both have a STR value of 7<br>Since there is no initiator both pay 5AP and roll a d6 and add the result to their STR value<br>Alice rolls a 3, Bob rolls a 1<br>Result Alice: 7 + 3 - 0 = 10<br>Result Bob: 7 + 1 - 0 = 8<br><br>?_Example A__h2_<br>Alice competes first and rolls a 4<br>Result Alice: 7 + 4 - 0 = 11<br>Result Bob: 8<br>Since 8 is less than 11 Bob%SQ%s Penalty increases by 2<br>Result Alice: 11<br>Result Bob: 8 - 2 = 6<br><br>Bob Competes and rolls a 2<br>Result Alice: 11<br>Result Bob: 7 + 2 - 2 = 7<br>7 is less than 11, nothing happens<br><br>Alice Competes and rolls a 6<br>Result Alice: 7 + 6 - 0 = 13<br>Result Bob: 7<br>13 is more than 7, Bob%SQ%s Penalty increases by 2<br>Result Alice: 13<br>Result Bob = 7 - 2 = 5<br>13 is more than 5*2, Alice wins the Contest<br>";"";"";"";100
"Contraptions";"";"";"Contraption refers to any kind of mechanism, machine, gadget and so on that can be invented and/or build by a Character<br><br>To assemble a contraption a Character requires a blueprint, these can either be found or bought in the world or created by the Character themselves.<br>?__abilities?name=Invent Contraption_Container_<br><br>Once the blueprint and all required materials are gathered a Character can assemble a contraption<br>?__Assemble Contraption_Container_";"";"";"";100
"Craft Skills";"";"Skills";"Craft Skills can only be learne dup to level 5 without the aid of a ?__Mentor__. After reaching level 15 they can be leveled like normal again<br><br>?_Woodworking_symbols/bobbleWoodworking.png_I§ability?=skill=woodworking_  ?__Woodworking__<br>?_Blacksmithing_symbols/bobbleBlacksmithing.png_I§ability?=skill=blacksmithing_  ?__Blacksmithing__<br>?_Alchemy_symbols/bobbleAlchemy.png_I§ability?=skill=Alchemy_  ?__Alchemy__<br>?_Cooking_symbols/bobbleCooking.png_I§ability?=skill=Cooking_  ?__Cooking__<br>?_Medicine_symbols/bobbleMedicine.png_I§ability?=skill=medicine_  ?__Medicin__<br>?_Enchanting_symbols/bobbleEnchanting.png_I§ability?=skill=enchanting_  ?__Enchanting__<br>?_Tailoring_symbols/bobbleTailoring.png_I§ability?=skill=Tailoring_  ?__Tailoring__<br>?_Engineering_symbols/bobbleEngineering.png_I§ability?=skill=Engineering_  ?__Engineering__";"Skills that pertain to item crafting, enchanting, cooking, medicine and similar things";"level, exp, xp, expirience, learning";"";100
"Creation Magic";"";"";"Creation Magic sees it%SQ%s purpose in fullfilling the will of nature%COMMA% there are however different views of what exactly the will of nature is<br><br>Entry Level Abilities:<br><br>?__abilities?skill=Creation+requires=_Container_";"";"";"";100
"Damage Types";"";"";"";"";"";"";100
"Dexterity";"";"Attributes";"A Character%SQ%s agility and prestidigitation<br>Influences Action per Turn, Perception, Movement Speed, Melee and Ranged Hit Chance and Dodge Chance<br>?__rule?=tags:DEX Derived_C§content-short_<br>?__rule?=tags:DEX Test_C§content-short_";"A Character%SQ%s agility and prestidigitation<br>Influences Action Points per Turn, Perception, Movement Speed, Melee and Ranged Hit Chance and Dodge Chance";"DEX";"";2
"Disarm Mechanism";"";"Tests";"Perform an INT or DEX Test (whichever is lover) to disarm a mechanism without destroying it.<br>Can be performed on ?__perk?=clockwork__ creatures to disable them<br><br>Modifiers:<br>Simple (e.g. tripwire, rope trap): 0<br>Medium (e.g. clock): -3<br>Complex (e.g Clockwork Creature): -5";"Minimum INT/DEX Test<br><br>Renders a mechanism or trap useless but doesn%SQ%t break it";"INT Test, DEX Test";"";100
"Distracted";"";"Status Effects";"A Distracted Character has disadvantage on Hit Chance (Melee, Ranged and Magic) and can not Meditate.<br>Can be removed by WIL Test (6 AP)";"Disadvantage on Attacks<br>Can%SQ%t Meditate.<br>Can be removed by WIL Test (6 AP)";"distraction, confused, distracted";"";100
"Dodging";"";"Combat";"When another Character declares an attack against you you may choose to Dodge (2 AP). You must do so before the attacker rolls to check if the attack lands. You can only Dodge if you have enough AP to do so. <br><br>To dodge roll a D20, the result must be below your Dodge Chance<br>Your Dodge Chance is equal to your Base ?__Dodge Chance__ minus your ?__Weight Penalty__<br><br>You may only Parry or Dodge each Attack once.<br><br>?_Dodging Projectiles__h_<br>To dodge a Projectile you have to be aware of its existence before it reaches you. <br>When dodging a Projectile your Dodge Chance is reduced by 5.<br><br>?_Critical Dodging__h_<br>If you ?_Crit_Critical Success__ you may reposition yourself by moving up to 2 times your MPA in dm.<br>This movement can not be ?_blocked_Blocking__ by the Character whose Attack you dodged";"Evade an enemy Attack<br>Hindered by Weight Penalty<br>Projectile Dodging penalty is -5<br><br>Costs 2 AP";"";"";1
